,,Parasite genus,Discocotyle,Octomacrum,Triganodistomum,Triganodistomum,Bucephalus,Bunodera,Bunoderina,Bucephalus,Bucephalopsis,Caecincola,Allocreadium,Acetodextra,Azygia,Azygia,Lebouria,Microphallus,Protometra,Plagioporus,Crepidostomum,Crepidostomum,Crepidostomum,Crepidostomum,Crepidostomum,Centrovarium,Centrovarium,Cryptogonimus,Clinostomum,Rhipidocotyle,Tetracotyle,Neascus,Diplostomulum,Diplostomum,Posthodiplostomum,Glaridacris,Abothrium,Bothriocephalus,Bothriocephalus,Bothriocephalus,Bothriocephalus,Eubothrium,Corallobothrium,Cyathocephalus,Diphyllobothrium,Ligula,Triaenophorus,Triaenophorus,Triaenophorus,Proteocephalus,Proteocephalus,Proteocephalus,Proteocephalus,Proteocephalus,Proteocephalus,Camallanus,Philometra,Philometra,Metabronema,Contracaecum,Cystidicola,Dichelyne,Dichelyne,Dichelyne,Haplonema,Hepaticola,Rhabdochona,Rhabdochona,Spiroxys,Spinitectus,Spinitectus,Spinitectus,Spinitectus,Echinorhynchus,Echinorhynchus,Echinorhynchus,Leptorhynchoides,Neoechinorhynchus,Neoechinorhynchus,Neoechinorhynchus,Neoechinorhynchus,Neoechinorhynchus,Neoechinorhynchus,Octospinifer,Pomphorhynchus,Pomphorhynchus,Actinobdella,Illinobdella,Illinobdella,Illinobdella,Achtheres,Achtheres,Achtheres,Achtheres,Ergasilus,Salmincola,Salmincola,Salmincola,Argulus
,,Parasite species,salmonis,lanceatum,simeri,attenuatum,elegans,sacculata,eucaliae,sp.,pusilla,parvulus,lobatum,amiuri,angusticauda,longa,cooperi,opacus,macrostoma,sinitsini,cooperi,cornutum,ictaluri,isostomum,farionis,lobotes,lobotes (L),chyli,marginatum (L),papillosa,sp. (L),sp. (L),sp. (L),flexicaudum (L),minimum (L),catostomi,crassum,claviceps,cuspidatus,formosus,sp.,salvelini,fimbriatum,americanus,sp. (L),intestinalis (L),crassus,crassus (L),stizostedionis,ambloplitis,exiguus,pinguis,pearsei,stizostethi,laruei,oxycephalus,cylindracea (L),sp. (L),salvelini,brachyurum,stigmatura,cotylophora,robusta,sp.,hamulatum,bakeri,cascadilla,sp.,sp. (L),carolini,gracilis,gracilis (L),sp.,leidyi,salmonis,salmonis (L),thecatus,strigosus,crassus,cylindratus,rutili,tumidus,sp.,macilentus,bulbocolli,bulbocolli (L),triannulata,alba,moorei,sp.,ambloplitis,coregoni,corpulentus,micropteri,caeruleus,inermis,wisconsinsensis,sp.,sp.
Percopsis omiscomaycus,19,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.4,0,0,0,0,0,0,36.8,10.5,78.9,0,10.5,0,0,0,0,15.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.3,0,0,0,0,0,0,0,0,0,0,5.3,0,0,0,26.3,0,0,0,0,0,0,0,5.3,0,0,10.5,0,0,0,0,0,0,0,0,36.8,0,0,0,5.3
Perca flavescens,201,23,0,0,0,0,1.5,21.9,0,0,0,0,0,0,2,0,0,0,0,0,42.3,0,0,0,0,0,0,0,10,0,1,20.9,68.2,0,3.5,0,0,0,0,0,14.4,0,0,0,0,0,0,0,0,7,0,0,33.3,0,0,0,1,0,0,0,0,54.7,0,0,0,0,0,6,0.5,0,4,0,0,0,3.5,0,11,0,0,3,5.5,0,0,0,1,0.5,0,0.5,3,0,0,0,0,0,7.5,0,0,0,0
Stizostedion vitreum,41,24,0,0,0,0,0,0,0,0,9.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.6,68.3,0,0,0,0,0,51.2,0,0,0,0,0,0,0,0,0,4.9,0,0,0,0,24.4,0,0,0,0,0,2.4,0,9.8,0,0,0,0,0,0,0,0,0,0,2.4,0,0,0,26.8,0,0,36.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.4,0,0,0,0
Etheostoma nigrum,39,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6,0,0,0,0,0,0,33.3,0,0,0,0,0,0,53.8,17.9,5.1,0,10.3,0,0,0,0,51.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6,0,0,2.6,0,5.1,0,0,0,0,0,0,0,2.6,0,0,2.6,0,0,0,0,0,0,0,0,0,2.6,0,0,0,0,0,0,0,0,0
Etheostoma exile,5,26,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,40,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0
Micropterus dolomieui,221,27,0,0,0,0,0,0,0,0,0,0,0,0,3.2,0,0,7.7,0,0,0.5,42.5,0,0,0,0,0,42.5,10.4,0.5,0,0.5,27.1,0,34.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.8,0,0,0,0,0,0.5,0,0,0,9,0,13.1,0,0,0,0,0,0,0,50.7,0,0.5,0,0,8.1,0,81.4,0,0,62.9,0.9,0,0,0,1.4,0,0,0,0,0.5,0,0,0,27.1,0.9,0,0,0,0
Micropterus salmoides,5,28,0,0,0,0,0,0,0,0,0,100,0,0,40,0,0,20,0,0,0,60,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,40,0,20,0,0,0,0,0,0,0,20,0,0,0,0,20,0,40,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lepomis gibbosus,55,29,0,0,0,0,0,0,0,0,0,0,0,0,1.8,0,0,0,1.8,0,1.8,14.5,0,0,0,0,0,0,27.3,0,0,89.1,25.5,0,94.5,0,0,1.8,0,0,0,0,0,0,0,0,0,0,0,63.6,0,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8,0,0,0,0,1.8,0,10.9,0,0,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8,0,0,0,0
Ambloplites rupestris,116,30,0,0,0,0,0,0,0,0,0,0,0,0,4.3,0,0,1.7,0.9,0,0.9,58.6,0,0,0,0,0,63.8,8.6,0,0,10.3,86.2,0,86.2,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,25.9,0,0,0.9,0,0,0.9,0,0,0,0.9,0,0.9,0,0,0,0,0,0,0,81,0,0,0,0,0.9,0,28.4,0,0,40.5,0,0,0,0,2.6,0,0,0,2.6,0,3.4,0,0,0,2.6,0,0,0,0
Lota lota,21,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.9,0,0,0,95.2,0,0,0,14.3,0,0,0,0,0,0,0,0,0,0,0,4.8,0,0,0,0,0,0,0,0,0,0,0,38.1,0,0,0,0,0,4.8,0,0,14.3,90.5,0,0,0,0,9.5,4.8,0,0,0,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Culaea inconstans,34,32,0,0,0,0,0,0,73.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.7,2.9,0,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cottus bairdi,8,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
