source,target,weight
Mylocheilus caurinus,Tetracotyle,0
Oncorhynchus nerka,Tetracotyle,1.9
Prosopium coulteri,Tetracotyle,0
Prosopium williamsoni,Tetracotyle,1.3
Ptychocheilus oregonensis,Tetracotyle,36.4
Rhinichthys cataractae,Tetracotyle,5
Richardsonius balteatus,Tetracotyle,20
Salmo gairdneri,Tetracotyle,1
Salvelinus malma,Tetracotyle,1
Salvelinus namaycush,Tetracotyle,12.5
Thymallus arcticus,Tetracotyle,1
Host species,Glaridacris,16
Catostomus catostomus,Glaridacris,9.8
Catostomus commersoni,Glaridacris,4.5
Catostomus macrocheilus,Glaridacris,0
Coregonus clupeaformis,Glaridacris,0
Cottus cognatus,Glaridacris,0
Lota lota,Glaridacris,0
Mylocheilus caurinus,Glaridacris,0
Oncorhynchus nerka,Glaridacris,0
Prosopium coulteri,Glaridacris,0
Prosopium williamsoni,Glaridacris,0
Ptychocheilus oregonensis,Glaridacris,0
Rhinichthys cataractae,Glaridacris,0
Richardsonius balteatus,Glaridacris,0
Salmo gairdneri,Glaridacris,0
Salvelinus malma,Glaridacris,0
Salvelinus namaycush,Glaridacris,0
Thymallus arcticus,Glaridacris,0
Host species,Glaridacris.1,17
Catostomus catostomus,Glaridacris.1,0
Catostomus commersoni,Glaridacris.1,0
Catostomus macrocheilus,Glaridacris.1,2
Coregonus clupeaformis,Glaridacris.1,0
Cottus cognatus,Glaridacris.1,0
Lota lota,Glaridacris.1,0
Mylocheilus caurinus,Glaridacris.1,0
Oncorhynchus nerka,Glaridacris.1,0
Prosopium coulteri,Glaridacris.1,0
Prosopium williamsoni,Glaridacris.1,0
Ptychocheilus oregonensis,Glaridacris.1,0
Rhinichthys cataractae,Glaridacris.1,0
Richardsonius balteatus,Glaridacris.1,0
Salmo gairdneri,Glaridacris.1,0
Salvelinus malma,Glaridacris.1,0
Salvelinus namaycush,Glaridacris.1,0
Thymallus arcticus,Glaridacris.1,0
Host species,Glaridacris.2,18
Catostomus catostomus,Glaridacris.2,0
Catostomus commersoni,Glaridacris.2,0
Catostomus macrocheilus,Glaridacris.2,4.1
Coregonus clupeaformis,Glaridacris.2,0
Cottus cognatus,Glaridacris.2,0
Lota lota,Glaridacris.2,0
Mylocheilus caurinus,Glaridacris.2,0
Oncorhynchus nerka,Glaridacris.2,0
Prosopium coulteri,Glaridacris.2,0
Prosopium williamsoni,Glaridacris.2,0
Ptychocheilus oregonensis,Glaridacris.2,0
Rhinichthys cataractae,Glaridacris.2,0
Richardsonius balteatus,Glaridacris.2,0
Salmo gairdneri,Glaridacris.2,0
Salvelinus malma,Glaridacris.2,0
Salvelinus namaycush,Glaridacris.2,0
Thymallus arcticus,Glaridacris.2,0
Host species,Hunterella,19
Catostomus catostomus,Hunterella,0
Catostomus commersoni,Hunterella,31.8
Catostomus macrocheilus,Hunterella,2
Coregonus clupeaformis,Hunterella,0
Cottus cognatus,Hunterella,0
Lota lota,Hunterella,0
Mylocheilus caurinus,Hunterella,0
Oncorhynchus nerka,Hunterella,0
Prosopium coulteri,Hunterella,0
Prosopium williamsoni,Hunterella,0
Ptychocheilus oregonensis,Hunterella,0
Rhinichthys cataractae,Hunterella,0
Richardsonius balteatus,Hunterella,0
Salmo gairdneri,Hunterella,0
Salvelinus malma,Hunterella,0
Salvelinus namaycush,Hunterella,0
Thymallus arcticus,Hunterella,0
Host species,Monobothrium,20
Catostomus catostomus,Monobothrium,2
Catostomus commersoni,Monobothrium,4.5
Catostomus macrocheilus,Monobothrium,0
Coregonus clupeaformis,Monobothrium,0
Cottus cognatus,Monobothrium,0
Lota lota,Monobothrium,0
Mylocheilus caurinus,Monobothrium,0
Oncorhynchus nerka,Monobothrium,0
Prosopium coulteri,Monobothrium,0
Prosopium williamsoni,Monobothrium,0
Ptychocheilus oregonensis,Monobothrium,0
Rhinichthys cataractae,Monobothrium,0
