source,target,weight
Etheostoma exile,Cleidodiscus.1,0
Etheostoma nigrum,Cleidodiscus.1,0
Percina caprodes,Cleidodiscus.1,0
Cottus bairdi,Cleidodiscus.1,0
Host species,Cleidodiscus.2,6
Salvelinus namaycush,Cleidodiscus.2,0
Coregonus clupeaformis,Cleidodiscus.2,0
Coregonus artedii,Cleidodiscus.2,0
Esox lucius,Cleidodiscus.2,0
Carpiodes cyprinus,Cleidodiscus.2,0
Catostomus commersoni,Cleidodiscus.2,0
Moxostoma anisurum,Cleidodiscus.2,0
Chrosomus neogaeus,Cleidodiscus.2,0
Couesius plumbeus,Cleidodiscus.2,0
Notropis anogenus,Cleidodiscus.2,0
Notropis atherinoides,Cleidodiscus.2,0
Notropis hudsonius,Cleidodiscus.2,0
Pimephales notatus,Cleidodiscus.2,0
Pimephales promelas,Cleidodiscus.2,0
Semotilus margarita,Cleidodiscus.2,0
Ictalurus nebulosus,Cleidodiscus.2,0
Noturus gyrinus,Cleidodiscus.2,0
Lota lota,Cleidodiscus.2,0
Culaea inconstans,Cleidodiscus.2,0
Percopsis omiscomaycus,Cleidodiscus.2,0
Ambloplites rupestris,Cleidodiscus.2,0
Lepomis gibbosus,Cleidodiscus.2,0
Micropterus dolomieui,Cleidodiscus.2,73
Pomoxis nigromaculatus,Cleidodiscus.2,0
Perca flavescens,Cleidodiscus.2,0
Stizostedion canadense,Cleidodiscus.2,0
Stizostedion vitreum,Cleidodiscus.2,0
Etheostoma exile,Cleidodiscus.2,0
Etheostoma nigrum,Cleidodiscus.2,0
Percina caprodes,Cleidodiscus.2,0
Cottus bairdi,Cleidodiscus.2,0
Host species,Cleidodiscus.3,7
Salvelinus namaycush,Cleidodiscus.3,0
Coregonus clupeaformis,Cleidodiscus.3,0
Coregonus artedii,Cleidodiscus.3,0
Esox lucius,Cleidodiscus.3,0
Carpiodes cyprinus,Cleidodiscus.3,0
Catostomus commersoni,Cleidodiscus.3,0
Moxostoma anisurum,Cleidodiscus.3,0
Chrosomus neogaeus,Cleidodiscus.3,81.8
Couesius plumbeus,Cleidodiscus.3,0
Notropis anogenus,Cleidodiscus.3,0
Notropis atherinoides,Cleidodiscus.3,0
Notropis hudsonius,Cleidodiscus.3,0
Pimephales notatus,Cleidodiscus.3,0
Pimephales promelas,Cleidodiscus.3,0
Semotilus margarita,Cleidodiscus.3,0
Ictalurus nebulosus,Cleidodiscus.3,0
Noturus gyrinus,Cleidodiscus.3,0
Lota lota,Cleidodiscus.3,0
Culaea inconstans,Cleidodiscus.3,0
Percopsis omiscomaycus,Cleidodiscus.3,0
Ambloplites rupestris,Cleidodiscus.3,0
Lepomis gibbosus,Cleidodiscus.3,0
Micropterus dolomieui,Cleidodiscus.3,0
Pomoxis nigromaculatus,Cleidodiscus.3,0
Perca flavescens,Cleidodiscus.3,0
Stizostedion canadense,Cleidodiscus.3,0
Stizostedion vitreum,Cleidodiscus.3,0
Etheostoma exile,Cleidodiscus.3,0
Etheostoma nigrum,Cleidodiscus.3,0
Percina caprodes,Cleidodiscus.3,0
Cottus bairdi,Cleidodiscus.3,0
Host species,Cleidodiscus.4,8
Salvelinus namaycush,Cleidodiscus.4,0
Coregonus clupeaformis,Cleidodiscus.4,0
Coregonus artedii,Cleidodiscus.4,0
