source,target,weight
Esox lucius,Triaenophorus.1,0
Catostomus catostomus,Triaenophorus.1,0
Catostomus commersoni,Triaenophorus.1,0
Lota lota,Triaenophorus.1,0
Pungitius pungitius,Triaenophorus.1,0
Stizostedion vitreum,Triaenophorus.1,0
Host species,Triaenophorus.2,20
Coregonus artedii,Triaenophorus.2,0
Coregonus clupeaformis,Triaenophorus.2,0
Salvelinus namaycush,Triaenophorus.2,0
Oncorhynchus kisutch,Triaenophorus.2,0
Esox lucius,Triaenophorus.2,90.3
Catostomus catostomus,Triaenophorus.2,0
Catostomus commersoni,Triaenophorus.2,0
Lota lota,Triaenophorus.2,0
Pungitius pungitius,Triaenophorus.2,0
Stizostedion vitreum,Triaenophorus.2,0
Host species,Triaenophorus.3,21
Coregonus artedii,Triaenophorus.3,0
Coregonus clupeaformis,Triaenophorus.3,0
Salvelinus namaycush,Triaenophorus.3,5.7
Oncorhynchus kisutch,Triaenophorus.3,3.1
Esox lucius,Triaenophorus.3,0
Catostomus catostomus,Triaenophorus.3,0
Catostomus commersoni,Triaenophorus.3,0
Lota lota,Triaenophorus.3,6.4
Pungitius pungitius,Triaenophorus.3,11.8
Stizostedion vitreum,Triaenophorus.3,0
Host species,Proteocephalus,22
Coregonus artedii,Proteocephalus,0
Coregonus clupeaformis,Proteocephalus,14.3
Salvelinus namaycush,Proteocephalus,0
Oncorhynchus kisutch,Proteocephalus,0
Esox lucius,Proteocephalus,0
Catostomus catostomus,Proteocephalus,0
Catostomus commersoni,Proteocephalus,0
Lota lota,Proteocephalus,0
Pungitius pungitius,Proteocephalus,0
Stizostedion vitreum,Proteocephalus,0
Host species,Proteocephalus.1,23
Coregonus artedii,Proteocephalus.1,20.3
Coregonus clupeaformis,Proteocephalus.1,0
Salvelinus namaycush,Proteocephalus.1,0
Oncorhynchus kisutch,Proteocephalus.1,0
Esox lucius,Proteocephalus.1,0
Catostomus catostomus,Proteocephalus.1,0
Catostomus commersoni,Proteocephalus.1,0
Lota lota,Proteocephalus.1,0
Pungitius pungitius,Proteocephalus.1,11.7
Stizostedion vitreum,Proteocephalus.1,0
Host species,Proteocephalus.2,24
Coregonus artedii,Proteocephalus.2,0
Coregonus clupeaformis,Proteocephalus.2,0
Salvelinus namaycush,Proteocephalus.2,0
Oncorhynchus kisutch,Proteocephalus.2,0
Esox lucius,Proteocephalus.2,1.6
Catostomus catostomus,Proteocephalus.2,0
Catostomus commersoni,Proteocephalus.2,0
Lota lota,Proteocephalus.2,0
Pungitius pungitius,Proteocephalus.2,0
Stizostedion vitreum,Proteocephalus.2,0
Host species,Proteocephalus.3,25
Coregonus artedii,Proteocephalus.3,0
Coregonus clupeaformis,Proteocephalus.3,0
Salvelinus namaycush,Proteocephalus.3,0
Oncorhynchus kisutch,Proteocephalus.3,0
Esox lucius,Proteocephalus.3,0
Catostomus catostomus,Proteocephalus.3,0
Catostomus commersoni,Proteocephalus.3,0
Lota lota,Proteocephalus.3,0
Pungitius pungitius,Proteocephalus.3,0
Stizostedion vitreum,Proteocephalus.3,50
Host species,Raphidascaris,26
Coregonus artedii,Raphidascaris,0
Coregonus clupeaformis,Raphidascaris,0
Salvelinus namaycush,Raphidascaris,0
Oncorhynchus kisutch,Raphidascaris,0
Esox lucius,Raphidascaris,3.2
Catostomus catostomus,Raphidascaris,0
Catostomus commersoni,Raphidascaris,0
