source,target,weight
Prosopium cylindraceum,Bucephalopsis,0
Oncorhynchus mykiss,Bucephalopsis,0
Salvelinus fontinalis,Bucephalopsis,0
Salvelinus namaycush,Bucephalopsis,0
Catostomus commersoni,Bucephalopsis,0
Catostomus catostomus,Bucephalopsis,0
Semotilus atromaculatus,Bucephalopsis,0
Rhinichthys cataractae,Bucephalopsis,0
Chrosomus eos,Bucephalopsis,0
Notropis atherinoides,Bucephalopsis,0
Notropis cornutus,Bucephalopsis,0
Notropis hudsonius,Bucephalopsis,0
Notropis volucellus,Bucephalopsis,0
Notropis heterolepis,Bucephalopsis,0
Pimephales notatus,Bucephalopsis,0
Ictalurus nebulosus,Bucephalopsis,0
Esox lucius,Bucephalopsis,0
Percopsis omiscomaycus,Bucephalopsis,0
Perca flavescens,Bucephalopsis,0
Stizostedion vitreum,Bucephalopsis,9.8
Etheostoma nigrum,Bucephalopsis,0
Etheostoma exile,Bucephalopsis,0
Micropterus dolomieui,Bucephalopsis,0
Micropterus salmoides,Bucephalopsis,0
Lepomis gibbosus,Bucephalopsis,0
Ambloplites rupestris,Bucephalopsis,0
Lota lota,Bucephalopsis,0
Culaea inconstans,Bucephalopsis,0
Cottus bairdi,Bucephalopsis,0
Host species,Caecincola,10
Osmerus mordax,Caecincola,0
Coregonus artedi,Caecincola,0
Coregonus hoyi,Caecincola,0
Coregonus clupeaformis,Caecincola,0
Prosopium cylindraceum,Caecincola,0
Oncorhynchus mykiss,Caecincola,0
Salvelinus fontinalis,Caecincola,0
Salvelinus namaycush,Caecincola,0
Catostomus commersoni,Caecincola,0
Catostomus catostomus,Caecincola,0
Semotilus atromaculatus,Caecincola,0
Rhinichthys cataractae,Caecincola,0
Chrosomus eos,Caecincola,0
Notropis atherinoides,Caecincola,0
Notropis cornutus,Caecincola,0
Notropis hudsonius,Caecincola,0
Notropis volucellus,Caecincola,0
Notropis heterolepis,Caecincola,0
Pimephales notatus,Caecincola,0
Ictalurus nebulosus,Caecincola,0
Esox lucius,Caecincola,0
Percopsis omiscomaycus,Caecincola,0
Perca flavescens,Caecincola,0
Stizostedion vitreum,Caecincola,0
Etheostoma nigrum,Caecincola,0
Etheostoma exile,Caecincola,0
Micropterus dolomieui,Caecincola,0
Micropterus salmoides,Caecincola,100
Lepomis gibbosus,Caecincola,0
Ambloplites rupestris,Caecincola,0
Lota lota,Caecincola,0
Culaea inconstans,Caecincola,0
Cottus bairdi,Caecincola,0
Host species,Allocreadium,11
Osmerus mordax,Allocreadium,0
Coregonus artedi,Allocreadium,0
Coregonus hoyi,Allocreadium,0
Coregonus clupeaformis,Allocreadium,0
Prosopium cylindraceum,Allocreadium,0
Oncorhynchus mykiss,Allocreadium,0
Salvelinus fontinalis,Allocreadium,0
Salvelinus namaycush,Allocreadium,0
Catostomus commersoni,Allocreadium,0
Catostomus catostomus,Allocreadium,0
Semotilus atromaculatus,Allocreadium,38.2
Rhinichthys cataractae,Allocreadium,0
Chrosomus eos,Allocreadium,0
Notropis atherinoides,Allocreadium,0
Notropis cornutus,Allocreadium,16.7
Notropis hudsonius,Allocreadium,9
Notropis volucellus,Allocreadium,0
Notropis heterolepis,Allocreadium,0
Pimephales notatus,Allocreadium,0
Ictalurus nebulosus,Allocreadium,0
Esox lucius,Allocreadium,0
Percopsis omiscomaycus,Allocreadium,0
Perca flavescens,Allocreadium,0
Stizostedion vitreum,Allocreadium,0
Etheostoma nigrum,Allocreadium,0
Etheostoma exile,Allocreadium,0
Micropterus dolomieui,Allocreadium,0
Micropterus salmoides,Allocreadium,0
Lepomis gibbosus,Allocreadium,0
Ambloplites rupestris,Allocreadium,0
Lota lota,Allocreadium,0
Culaea inconstans,Allocreadium,0
Cottus bairdi,Allocreadium,0
Host species,Acetodextra,12
Osmerus mordax,Acetodextra,0
Coregonus artedi,Acetodextra,0
Coregonus hoyi,Acetodextra,0
Coregonus clupeaformis,Acetodextra,0
Prosopium cylindraceum,Acetodextra,0
Oncorhynchus mykiss,Acetodextra,0
Salvelinus fontinalis,Acetodextra,0
Salvelinus namaycush,Acetodextra,0
Catostomus commersoni,Acetodextra,0
Catostomus catostomus,Acetodextra,0
Semotilus atromaculatus,Acetodextra,0
Rhinichthys cataractae,Acetodextra,0
Chrosomus eos,Acetodextra,0
Notropis atherinoides,Acetodextra,0
Notropis cornutus,Acetodextra,0
Notropis hudsonius,Acetodextra,0
Notropis volucellus,Acetodextra,0
Notropis heterolepis,Acetodextra,0
Pimephales notatus,Acetodextra,0
Ictalurus nebulosus,Acetodextra,42.9
Esox lucius,Acetodextra,0
Percopsis omiscomaycus,Acetodextra,0
Perca flavescens,Acetodextra,0
Stizostedion vitreum,Acetodextra,0
Etheostoma nigrum,Acetodextra,0
Etheostoma exile,Acetodextra,0
Micropterus dolomieui,Acetodextra,0
Micropterus salmoides,Acetodextra,0
Lepomis gibbosus,Acetodextra,0
Ambloplites rupestris,Acetodextra,0
Lota lota,Acetodextra,0
Culaea inconstans,Acetodextra,0
Cottus bairdi,Acetodextra,0
Host species,Azygia,13
Osmerus mordax,Azygia,0
Coregonus artedi,Azygia,0
Coregonus hoyi,Azygia,0
Coregonus clupeaformis,Azygia,0
Prosopium cylindraceum,Azygia,0
Oncorhynchus mykiss,Azygia,0
Salvelinus fontinalis,Azygia,0
Salvelinus namaycush,Azygia,0
Catostomus commersoni,Azygia,0
Catostomus catostomus,Azygia,0
Semotilus atromaculatus,Azygia,0
Rhinichthys cataractae,Azygia,0
Chrosomus eos,Azygia,0
Notropis atherinoides,Azygia,0
Notropis cornutus,Azygia,0
Notropis hudsonius,Azygia,0
Notropis volucellus,Azygia,0
Notropis heterolepis,Azygia,0
Pimephales notatus,Azygia,0
Ictalurus nebulosus,Azygia,7.1
Esox lucius,Azygia,0
Percopsis omiscomaycus,Azygia,0
Perca flavescens,Azygia,2
Stizostedion vitreum,Azygia,0
Etheostoma nigrum,Azygia,0
Etheostoma exile,Azygia,40
Micropterus dolomieui,Azygia,3.2
Micropterus salmoides,Azygia,40
Lepomis gibbosus,Azygia,1.8
Ambloplites rupestris,Azygia,4.3
Lota lota,Azygia,0
Culaea inconstans,Azygia,0
Cottus bairdi,Azygia,0
Host species,Azygia.1,14
Osmerus mordax,Azygia.1,0
Coregonus artedi,Azygia.1,0
Coregonus hoyi,Azygia.1,0
Coregonus clupeaformis,Azygia.1,0
Prosopium cylindraceum,Azygia.1,0
Oncorhynchus mykiss,Azygia.1,0
Salvelinus fontinalis,Azygia.1,0
Salvelinus namaycush,Azygia.1,0
Catostomus commersoni,Azygia.1,0
Catostomus catostomus,Azygia.1,0
Semotilus atromaculatus,Azygia.1,0
Rhinichthys cataractae,Azygia.1,0
Chrosomus eos,Azygia.1,0
Notropis atherinoides,Azygia.1,0
Notropis cornutus,Azygia.1,0
Notropis hudsonius,Azygia.1,0
Notropis volucellus,Azygia.1,0
Notropis heterolepis,Azygia.1,0
Pimephales notatus,Azygia.1,0
Ictalurus nebulosus,Azygia.1,0
Esox lucius,Azygia.1,3
Percopsis omiscomaycus,Azygia.1,0
Perca flavescens,Azygia.1,0
Stizostedion vitreum,Azygia.1,0
Etheostoma nigrum,Azygia.1,0
Etheostoma exile,Azygia.1,0
Micropterus dolomieui,Azygia.1,0
Micropterus salmoides,Azygia.1,0
Lepomis gibbosus,Azygia.1,0
Ambloplites rupestris,Azygia.1,0
Lota lota,Azygia.1,0
Culaea inconstans,Azygia.1,0
Cottus bairdi,Azygia.1,0
Host species,Lebouria,15
Osmerus mordax,Lebouria,0
Coregonus artedi,Lebouria,0
Coregonus hoyi,Lebouria,0
Coregonus clupeaformis,Lebouria,0
Prosopium cylindraceum,Lebouria,0
Oncorhynchus mykiss,Lebouria,0
Salvelinus fontinalis,Lebouria,0
Salvelinus namaycush,Lebouria,0
Catostomus commersoni,Lebouria,0
Catostomus catostomus,Lebouria,0
Semotilus atromaculatus,Lebouria,0
Rhinichthys cataractae,Lebouria,0
Chrosomus eos,Lebouria,0
Notropis atherinoides,Lebouria,0
Notropis cornutus,Lebouria,16.7
Notropis hudsonius,Lebouria,4
Notropis volucellus,Lebouria,0
Notropis heterolepis,Lebouria,0
Pimephales notatus,Lebouria,0
Ictalurus nebulosus,Lebouria,0
Esox lucius,Lebouria,0
Percopsis omiscomaycus,Lebouria,0
Perca flavescens,Lebouria,0
Stizostedion vitreum,Lebouria,0
Etheostoma nigrum,Lebouria,2.6
Etheostoma exile,Lebouria,0
Micropterus dolomieui,Lebouria,0
Micropterus salmoides,Lebouria,0
Lepomis gibbosus,Lebouria,0
Ambloplites rupestris,Lebouria,0
Lota lota,Lebouria,0
Culaea inconstans,Lebouria,0
Cottus bairdi,Lebouria,0
Host species,Microphallus,16
Osmerus mordax,Microphallus,0
Coregonus artedi,Microphallus,0
Coregonus hoyi,Microphallus,0
Coregonus clupeaformis,Microphallus,0
Prosopium cylindraceum,Microphallus,0
Oncorhynchus mykiss,Microphallus,0
Salvelinus fontinalis,Microphallus,0
Salvelinus namaycush,Microphallus,0
Catostomus commersoni,Microphallus,0
Catostomus catostomus,Microphallus,0
Semotilus atromaculatus,Microphallus,0
Rhinichthys cataractae,Microphallus,0
Chrosomus eos,Microphallus,0
Notropis atherinoides,Microphallus,0
Notropis cornutus,Microphallus,0
Notropis hudsonius,Microphallus,0
Notropis volucellus,Microphallus,0
Notropis heterolepis,Microphallus,0
Pimephales notatus,Microphallus,0
Ictalurus nebulosus,Microphallus,7.1
Esox lucius,Microphallus,0
Percopsis omiscomaycus,Microphallus,0
Perca flavescens,Microphallus,0
Stizostedion vitreum,Microphallus,0
Etheostoma nigrum,Microphallus,0
Etheostoma exile,Microphallus,0
Micropterus dolomieui,Microphallus,7.7
Micropterus salmoides,Microphallus,20
Lepomis gibbosus,Microphallus,0
Ambloplites rupestris,Microphallus,1.7
Lota lota,Microphallus,0
Culaea inconstans,Microphallus,0
Cottus bairdi,Microphallus,0
Host species,Protometra,17
Osmerus mordax,Protometra,0
Coregonus artedi,Protometra,0
Coregonus hoyi,Protometra,0
Coregonus clupeaformis,Protometra,0
Prosopium cylindraceum,Protometra,0
Oncorhynchus mykiss,Protometra,0
Salvelinus fontinalis,Protometra,0
Salvelinus namaycush,Protometra,0
Catostomus commersoni,Protometra,0
Catostomus catostomus,Protometra,0
Semotilus atromaculatus,Protometra,0
Rhinichthys cataractae,Protometra,0
Chrosomus eos,Protometra,0
Notropis atherinoides,Protometra,0
Notropis cornutus,Protometra,0
Notropis hudsonius,Protometra,0
Notropis volucellus,Protometra,0
Notropis heterolepis,Protometra,0
Pimephales notatus,Protometra,0
Ictalurus nebulosus,Protometra,0
Esox lucius,Protometra,0
Percopsis omiscomaycus,Protometra,0
Perca flavescens,Protometra,0
Stizostedion vitreum,Protometra,0
Etheostoma nigrum,Protometra,0
Etheostoma exile,Protometra,0
